"filename", "language", "XML", "C#", "comment", "blank", "total"
"d:\Diplom\BlazorApp\BlazorApp.Shared\BlazorApp.Shared.Metrics.xml", "XML", 17, 0, 0, 0, 17
"d:\Diplom\BlazorApp\BlazorApp.Shared\BlazorApp.Shared.csproj", "XML", 10, 0, 0, 4, 14
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\ChildConnectionDto.cs", "C#", 0, 14, 0, 2, 16
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\InvitationStatusDto.cs", "C#", 0, 14, 0, 2, 16
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\RegisterTherapistDto.cs", "C#", 0, 26, 0, 9, 35
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\RegisterUserDto.cs", "C#", 0, 11, 0, 2, 13
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\SupportRequestDto.cs", "C#", 0, 22, 0, 5, 27
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\TherapyDiaryLogDto.cs", "C#", 0, 29, 0, 9, 38
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\UserDto.cs", "C#", 0, 15, 0, 2, 17
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\ICategoryService.cs", "C#", 0, 15, 0, 2, 17
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IChatService.cs", "C#", 0, 14, 0, 2, 16
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IChildService.cs", "C#", 0, 16, 0, 2, 18
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IDiaryService.cs", "C#", 0, 22, 0, 3, 25
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IFavoriteService.cs", "C#", 0, 15, 0, 2, 17
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\ILectureService.cs", "C#", 0, 18, 0, 2, 20
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\ITherapistService.cs", "C#", 0, 20, 0, 2, 22
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IUserService.cs", "C#", 0, 16, 0, 2, 18
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\Category.cs", "C#", 0, 15, 0, 3, 18
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\ChatMessage.cs", "C#", 0, 17, 0, 3, 20
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\Child.cs", "C#", 0, 25, 0, 7, 32
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\DiaryInvitation.cs", "C#", 0, 18, 0, 2, 20
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\Favorite.cs", "C#", 0, 17, 0, 2, 19
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\Lecture.cs", "C#", 0, 21, 0, 2, 23
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\TherapistProfile.cs", "C#", 0, 41, 2, 7, 50
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\TherapistReview.cs", "C#", 0, 18, 0, 2, 20
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\TherapyDiaryLog.cs", "C#", 0, 22, 0, 3, 25
"Total", "-", 27, 461, 2, 83, 573
