"filename", "language", "ASP.NET Razor", "C#", "XML", "JSON", "comment", "blank", "total"
"d:\Diplom\BlazorApp\BlazorApp.Client\BlazorApp.Client.Metrics.xml", "XML", 0, 0, 17, 0, 0, 0, 17
"d:\Diplom\BlazorApp\BlazorApp.Client\BlazorApp.Client.csproj", "XML", 0, 0, 19, 0, 0, 6, 25
"d:\Diplom\BlazorApp\BlazorApp.Client\PersistentAuthenticationStateProvider.cs", "C#", 0, 27, 0, 0, 8, 7, 42
"d:\Diplom\BlazorApp\BlazorApp.Client\Program.cs", "C#", 0, 8, 0, 0, 0, 4, 12
"d:\Diplom\BlazorApp\BlazorApp.Client\RedirectToLogin.razor", "ASP.NET Razor", 7, 0, 0, 0, 0, 2, 9
"d:\Diplom\BlazorApp\BlazorApp.Client\UserInfo.cs", "C#", 0, 9, 0, 0, 0, 1, 10
"d:\Diplom\BlazorApp\BlazorApp.Client\_Imports.razor", "ASP.NET Razor", 10, 0, 0, 0, 0, 0, 10
"d:\Diplom\BlazorApp\BlazorApp.Client\wwwroot\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 1, 9
"d:\Diplom\BlazorApp\BlazorApp.Client\wwwroot\appsettings.json", "JSON", 0, 0, 0, 8, 0, 1, 9
"d:\Diplom\BlazorApp\BlazorApp.Shared\BlazorApp.Shared.Metrics.xml", "XML", 0, 0, -17, 0, 0, 0, -17
"d:\Diplom\BlazorApp\BlazorApp.Shared\BlazorApp.Shared.csproj", "XML", 0, 0, -10, 0, 0, -4, -14
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\ChildConnectionDto.cs", "C#", 0, -14, 0, 0, 0, -2, -16
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\InvitationStatusDto.cs", "C#", 0, -14, 0, 0, 0, -2, -16
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\RegisterTherapistDto.cs", "C#", 0, -26, 0, 0, 0, -9, -35
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\RegisterUserDto.cs", "C#", 0, -11, 0, 0, 0, -2, -13
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\SupportRequestDto.cs", "C#", 0, -22, 0, 0, 0, -5, -27
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\TherapyDiaryLogDto.cs", "C#", 0, -29, 0, 0, 0, -9, -38
"d:\Diplom\BlazorApp\BlazorApp.Shared\DTOs\UserDto.cs", "C#", 0, -15, 0, 0, 0, -2, -17
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\ICategoryService.cs", "C#", 0, -15, 0, 0, 0, -2, -17
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IChatService.cs", "C#", 0, -14, 0, 0, 0, -2, -16
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IChildService.cs", "C#", 0, -16, 0, 0, 0, -2, -18
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IDiaryService.cs", "C#", 0, -22, 0, 0, 0, -3, -25
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IFavoriteService.cs", "C#", 0, -15, 0, 0, 0, -2, -17
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\ILectureService.cs", "C#", 0, -18, 0, 0, 0, -2, -20
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\ITherapistService.cs", "C#", 0, -20, 0, 0, 0, -2, -22
"d:\Diplom\BlazorApp\BlazorApp.Shared\Interfaces\IUserService.cs", "C#", 0, -16, 0, 0, 0, -2, -18
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\Category.cs", "C#", 0, -15, 0, 0, 0, -3, -18
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\ChatMessage.cs", "C#", 0, -17, 0, 0, 0, -3, -20
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\Child.cs", "C#", 0, -25, 0, 0, 0, -7, -32
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\DiaryInvitation.cs", "C#", 0, -18, 0, 0, 0, -2, -20
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\Favorite.cs", "C#", 0, -17, 0, 0, 0, -2, -19
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\Lecture.cs", "C#", 0, -21, 0, 0, 0, -2, -23
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\TherapistProfile.cs", "C#", 0, -41, 0, 0, -2, -7, -50
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\TherapistReview.cs", "C#", 0, -18, 0, 0, 0, -2, -20
"d:\Diplom\BlazorApp\BlazorApp.Shared\Models\TherapyDiaryLog.cs", "C#", 0, -22, 0, 0, 0, -3, -25
"Total", "-", 17, -417, 9, 16, 6, -61, -430
