"filename", "language", "JSON", "XML", "ASP.NET Razor", "C#", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\Diplom\BlazorApp\BlazorApp\BlazorApp.Metrics.xml", "XML", 0, 17, 0, 0, 0, 0, 0, 0, 17
"d:\Diplom\BlazorApp\BlazorApp\BlazorApp.csproj", "XML", 0, 28, 0, 0, 0, 0, 0, 7, 35
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\IdentityComponentsEndpointRouteBuilderExtensions.cs", "C#", 0, 0, 0, 92, 0, 0, 3, 19, 114
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\IdentityNoOpEmailSender.cs", "C#", 0, 0, 0, 16, 0, 0, 1, 5, 22
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\IdentityRedirectManager.cs", "C#", 0, 0, 0, 46, 0, 0, 3, 11, 60
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\IdentityUserAccessor.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 4, 21
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\AccessDenied.razor", "ASP.NET Razor", 0, 0, 23, 0, 0, 0, 0, 4, 27
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Admin\AdminDashboard.razor", "ASP.NET Razor", 0, 0, 330, 0, 0, 0, 0, 46, 376
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Admin\AdminDashboard.razor.css", "PostCSS", 0, 0, 0, 0, 73, 0, 0, 17, 90
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Admin\Applications.razor", "ASP.NET Razor", 0, 0, 206, 0, 0, 0, 0, 18, 224
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Admin\ManageLectures.razor", "ASP.NET Razor", 0, 0, 224, 0, 0, 0, 140, 37, 401
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\BecomeTherapist.razor", "ASP.NET Razor", 0, 0, 165, 0, 0, 0, 0, 24, 189
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\BecomeTherapist.razor.css", "PostCSS", 0, 0, 0, 0, 33, 0, 0, 8, 41
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\ConfirmEmail.razor", "ASP.NET Razor", 0, 0, 40, 0, 0, 0, 0, 10, 50
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\ConfirmEmailChange.razor", "ASP.NET Razor", 0, 0, 54, 0, 0, 0, 0, 16, 70
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Diary.razor", "ASP.NET Razor", 0, 0, 171, 0, 0, 0, 0, 19, 190
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\ExternalLogin.razor", "ASP.NET Razor", 0, 0, 162, 0, 0, 0, 0, 34, 196
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\ForgotPassword.razor", "ASP.NET Razor", 0, 0, 58, 0, 0, 0, 0, 14, 72
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\ForgotPasswordConfirmation.razor", "ASP.NET Razor", 0, 0, 18, 0, 0, 0, 0, 4, 22
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\InvalidPasswordReset.razor", "ASP.NET Razor", 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\InvalidUser.razor", "ASP.NET Razor", 0, 0, 6, 0, 0, 0, 0, 3, 9
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\LectureDetails.razor", "ASP.NET Razor", 0, 0, 119, 0, 0, 0, 0, 17, 136
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\LectureDetails.razor.css", "PostCSS", 0, 0, 0, 0, 83, 0, 0, 7, 90
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\LecturesFeed.razor", "ASP.NET Razor", 0, 0, 124, 0, 0, 0, 0, 17, 141
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Lockout.razor", "ASP.NET Razor", 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Login.razor", "ASP.NET Razor", 0, 0, 143, 0, 0, 0, 0, 27, 170
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Login.razor.css", "PostCSS", 0, 0, 0, 0, 24, 0, 0, 5, 29
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\LoginWith2fa.razor", "ASP.NET Razor", 0, 0, 113, 0, 0, 0, 0, 25, 138
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\LoginWithRecoveryCode.razor", "ASP.NET Razor", 0, 0, 72, 0, 0, 0, 0, 14, 86
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\ChangePassword.razor", "ASP.NET Razor", 0, 0, 103, 0, 0, 0, 0, 22, 125
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\Children.razor", "ASP.NET Razor", 0, 0, 194, 0, 0, 0, 0, 26, 220
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\Children.razor.css", "PostCSS", 0, 0, 0, 0, 72, 0, 5, 11, 88
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\DeletePersonalData.razor", "ASP.NET Razor", 0, 0, 75, 0, 0, 0, 0, 17, 92
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\Disable2fa.razor", "ASP.NET Razor", 0, 0, 61, 0, 0, 0, 0, 13, 74
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\Email.razor", "ASP.NET Razor", 0, 0, 105, 0, 0, 0, 0, 23, 128
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\EnableAuthenticator.razor", "ASP.NET Razor", 0, 0, 102, 0, 0, 0, 0, 22, 124
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\ExternalLogins.razor", "ASP.NET Razor", 0, 0, 120, 0, 0, 0, 0, 21, 141
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\FavoritesList.razor", "ASP.NET Razor", 0, 0, 111, 0, 0, 0, 0, 8, 119
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\FavoritesList.razor.css", "PostCSS", 0, 0, 0, 0, 17, 0, 2, 4, 23
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\GenerateRecoveryCodes.razor", "ASP.NET Razor", 0, 0, 55, 0, 0, 0, 0, 9, 64
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\Index.razor", "ASP.NET Razor", 0, 0, 93, 0, 0, 0, 0, 18, 111
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\PersonalData.razor", "ASP.NET Razor", 0, 0, 35, 0, 0, 0, 0, 9, 44
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\SetPassword.razor", "ASP.NET Razor", 0, 0, 72, 0, 0, 0, 0, 16, 88
"d:\Diplom\BlazorApp\BlazorApp\Components\Account\Pages\Manage\TherapistSettings.razor", "ASP.NET Razor", 0, 0, 248, 0, 0, 0, 0, 43, 291
